words,amount_keywords,up_time,keyword,rating,contentWarning,romanticCategory,kudos
13333,64,14,6.745868923354294,1.0,1.956887864209901,0.0,38
1916,20,50,4.403856301620854,1.0,1.956887864209901,0.0,262
4775,19,47,3.699983423686068,1.0,1.956887864209901,0.0,357
8943,43,1,5.9249841161378205,1.0,1.7320508075688776,0.0,23
2031,131,3,5.868104611723986,1.0,2.5968491788439394,0.0,6
8871,44,14,5.565551230596981,1.0,1.956887864209901,0.0,51
28341,58,55,6.552260376587736,1.0,2.0,0.0,371
127395,142,4,8.257203997969818,1.4142135623730951,2.0,1.0,24
4176,30,14,4.414278183705147,1.9967620011132508,1.956887864209901,0.0,162
3412,96,10,7.339317580847951,1.0,2.5968491788439394,0.0,284
5580,14,15,3.3002396910632195,1.0,2.5968491788439394,0.0,79
1277,30,39,4.428260663488988,1.9967620011132508,1.956887864209901,0.0,87
1930,42,3,5.814491884100347,1.0,1.956887864209901,0.0,211
13811,84,14,6.675610514688444,1.0,1.956887864209901,0.0,123
2937,6,56,2.288309138005673,1.9967620011132508,2.5968491788439394,0.0,29
7541,14,14,3.445209223654947,1.9967620011132508,1.956887864209901,0.0,33
2417,24,172,3.9921881782248594,1.9967620011132508,1.956887864209901,1.0,20
28631,29,60,4.611964308735596,1.3828992025720797,2.5968491788439394,0.0,258
3224,139,21,6.05705100454776,1.0,2.5968491788439394,1.0,48
933,35,25,4.863967930044991,1.0,1.7320508075688772,0.0,7
297,6,73,2.1798450816933164,1.0,2.5968491788439394,0.0,2
4662,23,51,3.828644196427685,1.4142135623730951,1.956887864209901,0.0,966
3254,49,10,5.25049785120381,1.0,1.956887864209901,0.0,68
297,6,73,2.1798450816933164,1.0,2.5968491788439394,0.0,2
3270,16,5,3.1597435351523835,1.3828992025720797,2.5968491788439394,0.0,65
5042,31,46,5.1891734467562065,1.0,1.956887864209901,0.0,1508
297027,120,15,7.772216020515101,1.0,2.5968491788439394,0.0,116
6945,105,24,6.733035396414655,1.0,2.5968491788439394,0.0,91
5544,54,2,5.247697180711251,1.0,2.5968491788439394,0.0,388
8165,108,55,7.586611159260231,1.3828992025720797,1.956887864209901,0.0,137
23186,49,38,6.190031135276122,1.0,1.956887864209901,0.0,3172
297,6,73,2.1798450816933164,1.0,2.5968491788439394,0.0,2
2686,75,1,6.02166142619982,1.0,2.5968491788439394,0.0,44
37219,39,13,4.580426576725918,1.0,1.7320508075688772,0.0,86
8256,7,22,2.7084630140887858,1.9967620011132508,2.5968491788439394,0.0,26
9485,20,44,4.320367901745543,1.0,1.956887864209901,0.0,706
1979,26,15,3.768372564061466,1.3828992025720797,2.5968491788439394,0.0,56
154188,134,25,8.758010025212288,1.0,1.956887864209901,0.0,4378
1616,43,62,4.807293085785054,1.0,2.5968491788439394,0.0,132
17546,58,18,6.888893550459488,1.0,1.956887864209901,1.0,66
941,15,28,3.4298660910912817,1.4142135623730951,2.5968491788439394,0.0,35
