words,amount_keywords,up_time,keywords_mean,keywords_max,keywords_min,rating_mean,rating_max,rating_min,contentWarning_mean,contentWarning_max,contentWarning_min,romanticCategory_mean,romanticCategory_max,romanticCategory_min,romanticCategory,rating,contentWarning
2417,24,172,-0.0012400862,0.009802843,-0.009658898,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.00068080006,0.00996485,-0.009883509,1.0,1.9967620011132508,1.956887864209901
227423,21,167,0.0008486518,0.0099971155,-0.009681305,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.0,1.0,1.956887864209901
9300,61,201,2.9976749e-05,0.009823255,-0.009996834,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.0,1.0,1.956887864209901
3877,59,100,0.00041054416,0.009877048,-0.009546758,-8.236845e-06,0.009922823,-0.009121787,-8.236845e-06,0.009922823,-0.009121787,0.00015709833,0.009618826,-0.009603551,0.0,1.4142135623730951,2.0
12660,24,99,4.7520418e-05,0.008934252,-0.009709993,0.00015709833,0.009618826,-0.009603551,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.0,1.0,2.5968491788439394
5077,35,96,0.00065169146,0.009934895,-0.009947313,-8.236845e-06,0.009922823,-0.009121787,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.0,1.4142135623730951,2.5968491788439394
1138,17,95,-8.115221e-05,0.009654854,-0.009382299,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.0,1.0,1.956887864209901
7326,25,94,0.00027844208,0.00992683,-0.0097978525,0.00015709833,0.009618826,-0.009603551,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.0,1.0,2.5968491788439394
7559,72,97,7.8253805e-05,0.009534278,-0.00997185,-8.236845e-06,0.009922823,-0.009121787,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.0,1.4142135623730951,2.5968491788439394
1741,29,91,0.0009304114,0.009592243,-0.00978385,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.0,1.0,1.956887864209901
98580,18,194,-0.0005897921,0.0095024565,-0.009961694,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.0,1.9967620011132508,1.956887864209901
2773,24,84,0.0009296455,0.0097191585,-0.009765289,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.0,1.9967620011132508,1.956887864209901
22732,27,88,0.0005388328,0.009891843,-0.009851831,0.00068080006,0.00996485,-0.009883509,-8.236845e-06,0.009922823,-0.009121787,0.00015709833,0.009618826,-0.009603551,0.0,1.9967620011132508,2.0
297,6,73,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.0,1.0,2.5968491788439394
199884,78,84,0.0007955075,0.009834162,-0.009974668,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.0,1.0,1.956887864209901
166027,74,82,-0.0014261758,0.009803384,-0.009996495,0.00015709833,0.009618826,-0.009603551,0.00068080006,0.00996485,-0.009883509,0.00068080006,0.00996485,-0.009883509,1.0,1.0,2.5968491788439394
25921,53,36,3.458076e-05,0.0099701155,-0.009589603,0.00015709833,0.009618826,-0.009603551,-0.00018733664,0.009979125,-0.009724812,0.00015709833,0.009618826,-0.009603551,0.0,1.0,1.0
27213,39,78,0.00012885587,0.009717144,-0.0098245,0.00015709833,0.009618826,-0.009603551,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.0,1.0,2.5968491788439394
4367,29,70,-0.00013917954,0.009837139,-0.009702281,0.0006549831,0.009980517,-0.009774047,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.0,1.3828992025720797,2.5968491788439394
297,6,73,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.0,1.0,2.5968491788439394
3874,30,67,-0.00015402016,0.009413606,-0.009688858,0.0006549831,0.009980517,-0.009774047,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.0,1.3828992025720797,2.5968491788439394
4599,47,71,9.83588e-05,0.009896717,-0.009839283,0.00015709833,0.009618826,-0.009603551,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.0,1.0,2.5968491788439394
15887,39,64,-0.00013427589,0.009691861,-0.009955295,0.00015709833,0.009618826,-0.009603551,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.0,1.0,2.5968491788439394
5220,22,64,-0.00020967,0.009985201,-0.009911508,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.0,1.0,1.956887864209901
36475,36,68,0.0009330394,0.00974965,-0.009716971,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.0,1.9967620011132508,1.956887864209901
1422,45,64,9.2443785e-05,0.009966711,-0.009675842,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.0,1.0,1.956887864209901
4958,48,68,-0.00010609511,0.00984764,-0.009710539,-8.236845e-06,0.009922823,-0.009121787,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.0,1.4142135623730951,2.5968491788439394
1203,60,71,0.0004225131,0.009899995,-0.0092791645,0.0006549831,0.009980517,-0.009774047,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.0,1.3828992025720797,1.956887864209901
655,30,63,4.2276075e-05,0.00996108,-0.009243423,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.0,1.9967620011132508,1.956887864209901
10204,3,71,-0.0006916215,0.009919894,-0.009825471,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.0,1.0,1.956887864209901
20152,92,71,-0.00024709295,0.008992008,-0.009828504,0.00068080006,0.00996485,-0.009883509,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.0,1.9967620011132508,2.5968491788439394
3181,43,63,-0.00012161683,0.0098787965,-0.009969089,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.0,1.9967620011132508,1.956887864209901
58402,42,70,0.00064822054,0.009966321,-0.009993738,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.0,1.0,1.956887864209901
2618,34,70,-0.0004667598,0.009711284,-0.009994563,-8.236845e-06,0.009922823,-0.009121787,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.0,1.4142135623730951,2.5968491788439394
51079,39,70,-0.00029934457,0.009974671,-0.009731234,0.00015709833,0.009618826,-0.009603551,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.0,1.0,2.5968491788439394
7758,57,62,0.00024819374,0.009889284,-0.009366509,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.00015709833,0.009618826,-0.009603551,0.0,1.0,1.956887864209901
3142,23,60,0.0014419619,0.009868335,-0.009914308,-8.236845e-06,0.009922823,-0.009121787,0.00068080006,0.00996485,-0.009883509,0.00015709833,0.009618826,-0.009603551,0.0,1.4142135623730951,2.5968491788439394
