id,kudos,title,keywords,amount_keywords,romanticCategory,rating,contentWarning,words,packaged,published,up_time
27042589,11,Bridges,3.9178781850669058,7,0.0,1.0,2.0,15011,2022-04-16T04:39:16,2020-10-16,18
13681566,177,Entirely by Accident,3.6300010829203457,5,0.0,1.4142135623730951,1.956887864209901,15251,2022-01-29T15:58:04,2018-02-14,47
13791840,18,Nobody's Second Choice,2.291765335143104,2,0.0,1.3828992025720797,1.956887864209901,443,2022-01-30T12:23:16,2018-02-24,47
14301855,294,An Unusual Request and One Hell of a Deal,6.017525158995546,19,0.0,1.0,1.956887864209901,7461,2022-01-29T04:33:48,2018-04-13,45
15128201,180,won't he?,6.196522480837256,14,0.0,1.3828992025720797,2.5968491788439394,9164,2022-02-12T07:09:48,2018-07-01,43
15227424,81,This is the worthwhile fight,4.117003616557776,6,0.0,1.4142135623730951,2.5968491788439394,1704,2022-02-11T11:16:55,2018-07-09,43
15055727,656,Only a Kiss,5.889829715903582,19,0.0,1.0,1.956887864209901,12462,2022-02-06T20:57:23,2018-07-11,43
15407934,1262,This Business of Adulting,6.203253509792389,21,0.0,1.0,2.5968491788439394,79679,2022-02-08T17:32:49,2018-07-23,43
14897132,284,You Think You Hate Him (But Do You Really?),5.60278673350768,21,0.0,1.9967620011132508,2.5968491788439394,1412,2022-02-09T02:40:41,2018-06-10,44
15810957,277,The Perfect Thank You Starts With Breakfast,5.755044603736329,15,0.0,1.0,1.956887864209901,4421,2022-02-08T09:46:08,2018-08-27,42
16456718,180,Us,6.981630257194366,36,0.0,1.0,1.956887864209901,64953,2022-02-08T08:07:30,2018-10-30,40
16379153,19,Treasure Hunt,2.9890588790759653,10,0.0,1.9967620011132508,1.956887864209901,21340,2022-09-01T20:48:05,2018-10-22,47
16457249,1588,"Veela, My Veela",2.692074308013631,6,0.0,1.0,1.956887864209901,15962,2022-02-08T09:14:29,2018-10-30,40
15808272,1182,Dirty Talk,4.31989183900861,11,0.0,1.0,1.956887864209901,3010,2022-02-08T04:24:55,2018-08-26,42
16977186,3172,Harry Potter and The Bisexual Awakening,6.190031135276122,23,0.0,1.0,1.956887864209901,23186,2022-02-23T04:02:53,2018-12-17,38
5053585,296,Never Burn Out,6.267061115979862,25,0.0,1.0,1.0,25921,2021-12-18T06:34:15,2018-12-22,36
17139428,87,No Feelings,4.428260663488988,14,0.0,1.9967620011132508,1.956887864209901,1277,2022-03-01T19:33:03,2018-12-24,39
28590219,31,Madness,3.7169826316149197,9,0.0,1.9967620011132508,2.5968491788439394,1101,2022-04-24T07:07:43,2021-01-06,15
28611144,34,why wont you ever kiss me?,3.2595620062665707,6,0.0,1.4142135623730951,2.5968491788439394,488,2022-04-25T20:15:49,2021-01-07,15
28635801,305,A Change of Heart,5.415704571082101,15,0.0,1.0,2.5968491788439394,73062,2022-09-06T22:00:44,2021-01-08,20
28683159,183,Good Girl,6.011784529915273,20,0.0,1.0,2.5968491788439394,186222,2022-09-07T08:53:49,2021-01-11,20
28782165,21,Pushing Back the Darkness,5.012674684300281,11,0.0,1.9967620011132508,2.5968491788439394,14320,2022-09-08T07:28:05,2021-01-16,20
28819524,21,Friends Don't,3.203261322445776,4,0.0,1.4142135623730951,2.5968491788439394,724,2022-04-25T22:08:25,2021-01-17,15
17201570,169,A Demon in the Mist,2.7080515168852344,5,0.0,1.0,1.0,54990,2022-09-03T06:29:00,2018-12-28,45
17117345,421,The Dissolution of Hermione Granger,4.740864205549681,9,0.0,1.0,1.956887864209901,16063,2022-02-27T18:54:15,2018-12-23,38
29273307,21,Dahlias and Lavender Iced Coffee,5.569065787952528,20,0.0,1.3828992025720797,1.956887864209901,1941,2022-04-29T11:05:25,2021-02-07,14
29312268,46,Numb Without You,4.7604985216910745,18,0.0,1.0,1.956887864209901,151583,2022-04-24T14:44:58,2021-02-09,14
29376759,82,When Death Speaks of Love,7.621637020576042,47,0.0,1.9967620011132508,2.5968491788439394,44332,2022-09-08T08:01:06,2021-02-12,19
29452071,162,Ever Yours,4.414278183705147,15,0.0,1.9967620011132508,1.956887864209901,4176,2022-04-28T00:34:20,2021-02-14,14
29435682,50,Not So Secret Anymore,3.5226138131282747,5,0.0,1.3828992025720797,1.956887864209901,1987,2022-04-26T15:03:44,2021-02-16,14
29108769,189,In The Middle Of The Street,7.029308423861595,27,0.0,1.9967620011132508,1.956887864209901,5450,2022-04-24T15:42:09,2021-02-17,14
29550087,11,Nothing I Can do About It,6.638557813722456,30,1.0,1.0,2.5968491788439394,23648,2022-09-09T20:55:59,2021-02-19,19
29429886,58,Flowers in Her Hair,6.330841933517964,19,0.0,1.0,2.5968491788439394,26930,2022-09-08T18:04:46,2021-02-14,19
29385483,37,The Founders,2.3184280074712955,3,0.0,1.0,2.5968491788439394,10597,2022-04-30T01:56:09,2021-02-14,14
30085800,58,Flying Sparks,5.272882407845857,23,0.0,1.9967620011132508,1.956887864209901,6074,2022-04-29T10:24:27,2021-03-16,13
29828466,66,A Game of Pawns,6.888893550459485,28,1.0,1.0,1.956887864209901,17546,2022-09-06T19:33:32,2021-03-08,18
30002544,9,Dragon Writer,3.533204784724349,5,0.0,1.3828992025720797,2.5968491788439394,8219,2022-09-08T11:17:20,2021-03-12,18
29763003,156,Birth Certificate,8.327102938234372,24,0.0,1.0,1.0,104080,2022-09-06T04:00:44,2021-02-28,19
29801649,7,The Whisper of Death,7.105006677359526,26,1.0,1.0,2.0,2923,2022-04-23T17:25:08,2021-03-03,13
