words,amount_keywords,up_time,keywords_mean,keywords_max,keywords_min,rating_mean,rating_max,rating_min,contentWarning_mean,contentWarning_max,contentWarning_min,romanticCategory_mean,romanticCategory_max,romanticCategory_min
2417,24,172,-0.0006148904,0.1460437,-0.14820866,0.00012365142,0.008554986,-0.0082680145,0.00046170873,0.009046885,-0.008212944,0.0006549831,0.009980517,-0.009774047
227423,21,167,-0.0008017849,0.22557878,-0.23170528,0.00015709833,0.009618826,-0.009603551,0.00046170873,0.009046885,-0.008212944,0.00015709833,0.009618826,-0.009603551
9300,61,201,-0.000538863,0.102557145,-0.1074832,0.00015709833,0.009618826,-0.009603551,0.00046170873,0.009046885,-0.008212944,0.00015709833,0.009618826,-0.009603551
3877,59,100,-0.00036420763,0.09548491,-0.09628635,-0.0003773534,0.008177728,-0.009071283,0.00018749949,0.010641727,-0.012015251,-8.236845e-06,0.009922823,-0.009121787
12660,24,99,-0.00049522496,0.12927882,-0.13197501,-8.236845e-06,0.009922823,-0.009121787,3.5446803e-05,0.013284376,-0.011834501,0.00015709833,0.009618826,-0.009603551
5077,35,96,-0.0007334125,0.18612075,-0.19382529,-0.0003773534,0.008177728,-0.009071283,3.5446803e-05,0.013284376,-0.011834501,0.00015709833,0.009618826,-0.009603551
1138,17,95,-0.0005569287,0.20803134,-0.21288328,0.00015709833,0.009618826,-0.009603551,0.00046170873,0.009046885,-0.008212944,0.00015709833,0.009618826,-0.009603551
7326,25,94,-0.0006921965,0.16024329,-0.16521125,0.00015709833,0.009618826,-0.009603551,3.5446803e-05,0.013284376,-0.011834501,0.00015709833,0.009618826,-0.009603551
7559,72,97,-0.00070834154,0.14018908,-0.1475737,-0.0003773534,0.008177728,-0.009071283,3.5446803e-05,0.013284376,-0.011834501,-8.236845e-06,0.009922823,-0.009121787
1741,29,91,-0.00056375185,0.1829564,-0.1897371,0.00015709833,0.009618826,-0.009603551,0.00046170873,0.009046885,-0.008212944,0.00015709833,0.009618826,-0.009603551
98580,18,194,-0.00087166746,0.15852366,-0.16430816,0.00012365142,0.008554986,-0.0082680145,0.00046170873,0.009046885,-0.008212944,0.00068080006,0.00996485,-0.009883509
2773,24,84,-0.0007605353,0.22888511,-0.23675825,0.00012365142,0.008554986,-0.0082680145,0.00046170873,0.009046885,-0.008212944,0.00015709833,0.009618826,-0.009603551
22732,27,88,-0.0009317119,0.19713539,-0.20465778,0.00012365142,0.008554986,-0.0082680145,0.00018749949,0.010641727,-0.012015251,0.00068080006,0.00996485,-0.009883509
297,6,73,-0.0010371371,0.17440109,-0.18750562,0.00015709833,0.009618826,-0.009603551,3.5446803e-05,0.013284376,-0.011834501,-8.236845e-06,0.009922823,-0.009121787
199884,78,84,-0.0004420066,0.08064795,-0.08458278,-8.236845e-06,0.009922823,-0.009121787,0.00046170873,0.009046885,-0.008212944,0.00015709833,0.009618826,-0.009603551
166027,74,82,-0.00052224996,0.13349488,-0.13788423,-8.236845e-06,0.009922823,-0.009121787,3.5446803e-05,0.013284376,-0.011834501,0.0006549831,0.009980517,-0.009774047
25921,53,36,-0.0006397778,0.15887043,-0.16506726,0.00015709833,0.009618826,-0.009603551,-0.00040125195,0.009424681,-0.009889486,0.00068080006,0.00996485,-0.009883509
27213,39,78,-0.00075752573,0.14770758,-0.15482523,-8.236845e-06,0.009922823,-0.009121787,3.5446803e-05,0.013284376,-0.011834501,0.00015709833,0.009618826,-0.009603551
4367,29,70,-0.00041910843,0.11645899,-0.11799247,0.00039263593,0.008924776,-0.009150031,3.5446803e-05,0.013284376,-0.011834501,0.00068080006,0.00996485,-0.009883509
297,6,73,-0.0010371371,0.17440109,-0.18750562,0.00015709833,0.009618826,-0.009603551,3.5446803e-05,0.013284376,-0.011834501,-8.236845e-06,0.009922823,-0.009121787
3874,30,67,-0.00065605954,0.14343618,-0.14925066,0.00039263593,0.008924776,-0.009150031,3.5446803e-05,0.013284376,-0.011834501,0.00015709833,0.009618826,-0.009603551
4599,47,71,-0.0005568048,0.14590648,-0.15252401,0.00015709833,0.009618826,-0.009603551,3.5446803e-05,0.013284376,-0.011834501,0.00015709833,0.009618826,-0.009603551
15887,39,64,-0.0006790109,0.14908665,-0.15558594,0.00015709833,0.009618826,-0.009603551,3.5446803e-05,0.013284376,-0.011834501,0.00015709833,0.009618826,-0.009603551
5220,22,64,-0.0010097033,0.2097806,-0.21901666,-8.236845e-06,0.009922823,-0.009121787,0.00046170873,0.009046885,-0.008212944,0.00015709833,0.009618826,-0.009603551
36475,36,68,-0.000711126,0.17226286,-0.17665389,0.00012365142,0.008554986,-0.0082680145,0.00046170873,0.009046885,-0.008212944,0.00068080006,0.00996485,-0.009883509
1422,45,64,-0.00079315534,0.18102962,-0.19107142,-8.236845e-06,0.009922823,-0.009121787,0.00046170873,0.009046885,-0.008212944,0.00015709833,0.009618826,-0.009603551
4958,48,68,-0.0008021287,0.18006288,-0.18726271,-0.0003773534,0.008177728,-0.009071283,3.5446803e-05,0.013284376,-0.011834501,0.00015709833,0.009618826,-0.009603551
1203,60,71,-0.00061304145,0.12587728,-0.13294037,0.00039263593,0.008924776,-0.009150031,0.00046170873,0.009046885,-0.008212944,0.00015709833,0.009618826,-0.009603551
655,30,63,-0.0007713095,0.17830826,-0.18657818,0.00012365142,0.008554986,-0.0082680145,0.00046170873,0.009046885,-0.008212944,0.00015709833,0.009618826,-0.009603551
10204,3,71,-0.0006676379,0.22202499,-0.23224352,-8.236845e-06,0.009922823,-0.009121787,0.00046170873,0.009046885,-0.008212944,0.00015709833,0.009618826,-0.009603551
20152,92,71,-0.00033945945,0.08820366,-0.09169247,0.00012365142,0.008554986,-0.0082680145,3.5446803e-05,0.013284376,-0.011834501,0.00015709833,0.009618826,-0.009603551
3181,43,63,-0.0010320263,0.19224615,-0.20288618,0.00012365142,0.008554986,-0.0082680145,0.00046170873,0.009046885,-0.008212944,-8.236845e-06,0.009922823,-0.009121787
58402,42,70,-0.0007253605,0.14775908,-0.15498282,0.00015709833,0.009618826,-0.009603551,0.00046170873,0.009046885,-0.008212944,0.00068080006,0.00996485,-0.009883509
2618,34,70,-0.0007094288,0.23528187,-0.24288282,-0.0003773534,0.008177728,-0.009071283,3.5446803e-05,0.013284376,-0.011834501,0.00015709833,0.009618826,-0.009603551
51079,39,70,-0.0005679578,0.14076304,-0.14651977,-8.236845e-06,0.009922823,-0.009121787,3.5446803e-05,0.013284376,-0.011834501,0.00068080006,0.00996485,-0.009883509
7758,57,62,-0.00078413956,0.19044873,-0.19594596,0.00015709833,0.009618826,-0.009603551,0.00046170873,0.009046885,-0.008212944,0.00015709833,0.009618826,-0.009603551
3142,23,60,-0.00086901424,0.19710883,-0.20128222,-0.0003773534,0.008177728,-0.009071283,3.5446803e-05,0.013284376,-0.011834501,0.00015709833,0.009618826,-0.009603551
1937,9,59,-0.00048468233,0.20785205,-0.21207823,0.00039263593,0.008924776,-0.009150031,0.00046170873,0.009046885,-0.008212944,0.00015709833,0.009618826,-0.009603551
28341,58,55,-0.0005300761,0.10393852,-0.10937864,-8.236845e-06,0.009922823,-0.009121787,0.00018749949,0.010641727,-0.012015251,-8.236845e-06,0.009922823,-0.009121787
2423,117,65,-0.00065227126,0.14558011,-0.15399069,-8.236845e-06,0.009922823,-0.009121787,3.5446803e-05,0.013284376,-0.011834501,0.00068080006,0.00996485,-0.009883509
4051,25,57,-0.00045356006,0.14449693,-0.15119042,0.00039263593,0.008924776,-0.009150031,0.00046170873,0.009046885,-0.008212944,0.00015709833,0.009618826,-0.009603551
26261,23,64,-0.00024460885,0.07016426,-0.07348899,0.00012365142,0.008554986,-0.0082680145,0.00018749949,0.010641727,-0.012015251,0.00068080006,0.00996485,-0.009883509
21112,13,66,-0.0003683856,0.13109829,-0.13076225,-8.236845e-06,0.009922823,-0.009121787,0.0008033614,0.010229348,-0.008849426,0.00068080006,0.00996485,-0.009883509
9328,37,56,-0.00097524916,0.15960222,-0.1694737,0.00015709833,0.009618826,-0.009603551,0.00046170873,0.009046885,-0.008212944,0.00015709833,0.009618826,-0.009603551
195,9,55,-0.0011763999,0.32109886,-0.32902494,-0.0003773534,0.008177728,-0.009071283,3.5446803e-05,0.013284376,-0.011834501,0.00015709833,0.009618826,-0.009603551
4505,45,55,-0.000421605,0.12668298,-0.1302173,-0.0003773534,0.008177728,-0.009071283,0.00046170873,0.009046885,-0.008212944,0.00015709833,0.009618826,-0.009603551
1616,43,62,-0.00082651526,0.22318836,-0.23258005,0.00015709833,0.009618826,-0.009603551,3.5446803e-05,0.013284376,-0.011834501,0.00015709833,0.009618826,-0.009603551
7079,57,55,-0.0006215573,0.13486451,-0.14117011,0.00015709833,0.009618826,-0.009603551,-0.00040125195,0.009424681,-0.009889486,0.00015709833,0.009618826,-0.009603551
542422,28,54,-0.00037291035,0.105144605,-0.10906415,0.00012365142,0.008554986,-0.0082680145,0.00018749949,0.010641727,-0.012015251,0.00068080006,0.00996485,-0.009883509
